Estación:       XALAPAob,  VER
Operada por:    SMN ESIME
Longitud:       96°54'14"  Longitud: 19°30'43  Altitud: 1360

DD/MM/AAAA HH:MM      DIRS      DIRR  RAPVIENTO2  RAPRAFAGA2      TEMP        HR        PB      PREC   RAD-SOL
01/11/2014 20:00          98         220        0.80        1.80        18.4          71       870.9         0.0       164.0
01/11/2014 20:10           0           0        0.00        0.00        18.5          74       870.9         0.0       150.0
01/11/2014 20:20          14         157        0.90        2.30        17.9          75       870.8         0.0       206.0
01/11/2014 20:30         140         314        0.70        1.60        18.4          73       870.8         0.0       183.0
01/11/2014 20:40           0           0        0.00        0.00        18.6          72       870.8         0.0       212.0
01/11/2014 20:50         226          32        0.90        2.20        18.6          74       870.7         0.0       232.0
01/11/2014 21:00         271         347        1.20        2.20        18.8          71       870.7         0.0       281.0
01/11/2014 21:10         258         324        1.30        2.40        18.9          72       870.7         0.0       239.0
01/11/2014 21:20         247         330        1.00        1.70        18.6          71       870.6         0.0       200.0
01/11/2014 21:30          87         267        1.10        2.70        18.7          75       870.6         0.0       130.0
01/11/2014 21:40          89         174        1.50        3.20        18.1          79       870.6         0.0        81.0
01/11/2014 21:50          77         221        1.30        3.60        18.0          80       870.6         0.0        81.0
01/11/2014 22:00          79         210        1.30        3.30        17.7          82       870.6         0.0        89.0
01/11/2014 22:10          82         161        1.10        2.60        17.6          81       870.6         0.0        73.0
01/11/2014 22:20          71         205        0.90        2.20        17.4          82       870.6         0.0        60.0
01/11/2014 22:30          69         188        1.20        3.20        17.1          85       870.7         0.0        69.0
01/11/2014 22:40          89         145        1.50        3.80        16.9          88       870.8         0.0        40.0
01/11/2014 22:50          89         200        1.30        3.80        16.6          90       870.8         0.0        36.0
01/11/2014 23:00         106         185        1.70        3.50        16.4          92       870.8         0.0        44.0
01/11/2014 23:10         130         197        1.90        3.70        16.1          94       870.9         0.0        26.0
01/11/2014 23:20         127         208        1.60        3.20        15.9          94       870.9         0.0        22.0
01/11/2014 23:30         139         312        1.40        4.10        15.8          95       871.0         0.0        12.0
01/11/2014 23:40         137         289        1.30        2.90        15.7          96       871.1         0.0         7.0
01/11/2014 23:50         131         228        1.10        2.30        15.7          95       871.2         0.0         2.0
02/11/2014 00:00         131         295        1.00        2.30        15.6          95       871.3         0.0        -1.0
02/11/2014 00:10         169         231        1.00        2.30        15.6          96       871.4         0.0        -1.0
02/11/2014 00:20         163         232        1.20        2.10        15.5          96       871.5         0.0        -1.0
02/11/2014 00:30         182         230        1.10        2.50        15.4          97       871.6         0.0        -1.0
02/11/2014 00:40         198         271        1.20        2.30        15.2          98       871.7         0.2        -1.0
02/11/2014 00:50         174         254        0.70        1.20        15.3          98       871.8         0.0        -1.0
02/11/2014 01:00         174         268        0.80        1.70        15.2          98       871.9         0.0        -1.0
02/11/2014 01:10         212         254        0.80        1.80        15.2          98       872.0         0.0        -1.0
02/11/2014 01:20         229         289        0.90        2.00        15.2          99       872.1         0.0        -1.0
02/11/2014 01:30         221         263        1.30        2.50        15.2          99       872.2         0.0        -1.0
02/11/2014 01:40         228         283        1.20        2.50        15.2          99       872.3         0.0         0.0
02/11/2014 01:50         228         284        1.20        2.80        15.1          99       872.4         0.2         0.0
02/11/2014 02:00         212         257        1.00        2.20        15.1         100       872.6         0.0         0.0
02/11/2014 02:10         207         326        1.80        3.80        14.9         100       872.7         0.2         0.0
02/11/2014 02:20         212         281        1.70        3.70        14.9         100       872.8         0.0         0.0
02/11/2014 02:30         218         332        2.00        4.10        14.8         100       872.8         0.0         0.0
02/11/2014 02:40         225         325        2.10        4.10        14.7         100       872.8         0.0         0.0
02/11/2014 02:50         217         295        1.60        4.20        14.7         100       872.9         0.0         0.0
02/11/2014 03:00         215         316        1.70        3.40        14.7         100       873.0         0.0         0.0
02/11/2014 03:10         231         324        1.50        3.90        14.7         100       873.0         0.0         0.0
02/11/2014 03:20         224         317        1.50        3.30        14.7         100       873.0         0.0         0.0
02/11/2014 03:30         225         330        1.00        2.60        14.7         100       873.1         0.0         0.0
02/11/2014 03:40         200           1        0.90        2.70        14.6         100       873.2         0.0         0.0
02/11/2014 03:50         211          41        0.80        1.70        14.5         100       873.2         0.0         0.0
02/11/2014 04:00         214         281        1.20        1.90        14.5         100       873.2         0.0         0.0
02/11/2014 04:10         222         275        0.70        1.60        14.5         100       873.1         0.0         0.0
02/11/2014 04:20         247         316        1.00        2.20        14.6         100       873.1         0.0         0.0
02/11/2014 04:30         233          51        0.90        2.00        14.6         100       873.0         0.0         0.0
02/11/2014 04:40         214         284        1.20        2.00        14.4         100       873.0         0.0         0.0
02/11/2014 04:50         239         289        0.80        1.50        14.5         100       873.0         0.0         0.0
02/11/2014 05:00         253         291        0.90        1.80        14.5         100       872.8         0.0         0.0
02/11/2014 05:10         232         296        1.10        2.20        14.4         100       872.9         0.0         0.0
02/11/2014 05:20         226         271        1.00        2.10        14.4         100       872.8         0.0        -1.0
02/11/2014 05:30         209         245        1.20        1.90        14.4         100       872.8         0.0         0.0
02/11/2014 05:40         227         315        0.50        1.20        14.4         100       872.7         0.0         0.0
02/11/2014 05:50         188         263        0.70        1.60        14.4         100       872.6         0.0         0.0
02/11/2014 06:00         109         215        0.50        1.10        14.4         100       872.6         0.0         0.0
02/11/2014 06:10           0           0        0.00        0.00        14.4         100       872.5         0.0         0.0
02/11/2014 06:20         358         123        0.50        1.00        14.4         100       872.5         0.0         0.0
02/11/2014 06:30          42         129        0.60        1.30        14.5         100       872.4         0.2         0.0
02/11/2014 06:40          50         147        0.50        1.00        14.5         100       872.4         0.0         0.0
02/11/2014 06:50          80         166        0.60        1.30        14.5         100       872.3         0.0         0.0
02/11/2014 07:00          68         152        0.50        1.40        14.6         100       872.3         0.0         0.0
02/11/2014 07:10          65         193        0.60        1.90        14.5         100       872.2         0.0         0.0
02/11/2014 07:20          91         239        1.10        2.80        14.3         100       872.1         0.0         0.0
02/11/2014 07:30          77         191        0.90        2.00        14.2         100       872.1         0.0        -1.0
02/11/2014 07:40          71         134        0.60        1.70        14.2         100       872.1         0.0         0.0
02/11/2014 07:50           0           0        0.00        0.00        14.2         100       872.1         0.0         0.0
02/11/2014 08:00          62         131        0.60        1.30        14.1         100       872.0         0.0        -1.0
02/11/2014 08:10          82         147        0.80        1.40        14.1         100       871.9         0.0        -1.0
02/11/2014 08:20          69         136        0.70        1.30        14.0         100       871.8         0.2        -1.0
02/11/2014 08:30          56         157        0.70        1.70        14.1         100       871.8         0.0         0.0
02/11/2014 08:40           0           0        0.00        0.00        14.0         100       871.8         0.0         0.0
02/11/2014 08:50          75         184        0.60        1.20        14.1         100       871.7         0.0         0.0
02/11/2014 09:00          68         184        0.60        2.00        14.1         100       871.7         0.0         0.0
02/11/2014 09:10          75         144        0.70        1.80        14.1         100       871.7         0.0         0.0
02/11/2014 09:20          73         139        0.90        2.20        14.0         100       871.6         0.0         0.0
02/11/2014 09:30          81         251        1.00        2.40        14.0         100       871.7         0.0         0.0
02/11/2014 09:40          73         164        0.90        2.30        14.0         100       871.7         0.0         0.0
02/11/2014 09:50          82         218        0.80        2.30        13.9         100       871.7         0.0        -1.0
02/11/2014 10:00          80         141        0.90        1.80        13.8         100       871.7         0.0         0.0
02/11/2014 10:10          91         187        1.20        2.60        13.5         100       871.7         0.0        -1.0
02/11/2014 10:20          96         144        1.80        3.70        13.1          97       871.7         0.0        -1.0
02/11/2014 10:30          96         158        1.50        2.80        12.9          95       871.7         0.0        -1.0
02/11/2014 10:40          95         175        1.20        2.40        12.7          95       871.8         0.0        -1.0
02/11/2014 10:50         107         189        1.10        2.40        12.7          96       871.8         0.0        -1.0
02/11/2014 11:00         129         275        0.90        1.90        12.7          96       872.0         0.0        -1.0
02/11/2014 11:10         147         340        0.70        1.50        12.8          97       872.0         0.0        -1.0
02/11/2014 11:20         138         211        0.70        1.90        12.8          97       872.1         0.0         0.0
02/11/2014 11:30         153         331        0.60        2.10        12.9          98       872.2         0.0         0.0
02/11/2014 11:40         170         299        1.20        2.70        12.8          97       872.2         0.0         0.0
02/11/2014 11:50         194         258        1.20        2.60        12.8          98       872.3         0.0        -1.0
02/11/2014 12:00         210         256        0.80        1.50        12.7          98       872.4         0.0         0.0
02/11/2014 12:10         234         349        0.60        1.30        12.7          99       872.4         0.0         0.0
02/11/2014 12:20         243         283        0.90        2.30        12.7          99       872.5         0.0         0.0
02/11/2014 12:30         242         293        1.40        3.00        12.7          99       872.6         0.0         0.0
02/11/2014 12:40         248         286        1.00        1.90        12.6         100       872.7         0.0         3.0
02/11/2014 12:50         220         273        1.10        2.20        12.6         100       872.8         0.2        10.0
02/11/2014 13:00         258         306        1.30        2.70        12.8         100       872.8         0.0        14.0
02/11/2014 13:10         266         305        1.70        2.90        12.7         100       872.9         0.0        25.0
02/11/2014 13:20         264         295        1.80        3.10        12.6         100       873.0         0.0        30.0
