sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( cm);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature ( °C);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.8922;2.308;5.5833;4.4437;4.5034;7.4929;-2.7486;-2.9807;0.408;0.3867;0.1897;0.3858;6021.0;-33.42;109.62;-0.48;15.07;-27.34;-30.67;8.0;867.36;56.551;19.520088;-96.91568;;;96.77419;0 / 0;95.2;87.0;4.073;8566;2014-11-08 13:53:15:570
1.2641;2.5283;5.1811;3.5588;4.2029;8.1142;-0.8486;-1.9715;0.5432;-0.2978;0.4175;-1.0388;5612.0;-36.42;108.0;-0.66;18.09;-29.97;-22.27;8.0;867.42;56.551;19.520088;-96.91568;;;96.77419;0 / 0;95.2;87.0;4.073;127;2014-11-08 13:53:15:941
2.6049;2.6336;9.3948;3.627;4.551;7.8933;-1.003;-1.9078;1.7985;0.0675;-1.3192;-1.0183;5612.0;-46.74;107.34;1.02;22.63;-27.65;-24.68;8.0;867.38;56.551;19.520088;-96.91568;;;96.77419;0 / 0;95.2;87.0;4.073;9089;2014-11-08 13:53:16:093
1.1588;4.9416;12.6988;1.8244;5.0528;8.2043;-0.5028;0.1187;7.0898;-0.7709;-0.9951;-1.1573;7340.0;-32.22;105.96;1.32;18.9;-27.59;0.19;8.0;867.43;56.551;19.520088;-96.91568;;;96.77419;0 / 0;95.2;87.0;4.073;1403;2014-11-08 13:53:17:217
1.1588;4.9416;12.6988;1.8244;5.0528;8.2043;-0.5028;0.1187;7.0898;-0.7709;-0.9951;-1.1573;7340.0;-32.22;105.96;1.32;18.9;-27.59;0.19;8.0;867.43;56.551;19.520088;-96.91568;;;96.77419;0 / 0;95.2;87.0;4.073;10216;2014-11-08 13:53:17:220
-1.0822;5.8897;4.1468;1.4005;6.2302;7.4427;-3.2967;1.0003;-2.6543;-0.1494;1.452;-0.1048;4495.0;-35.34;103.86;2.46;21.17;-36.31;-15.86;8.0;867.48;50.461;19.520088;-96.91568;;;96.77419;0 / 0;95.2;87.0;4.073;1924;2014-11-08 13:53:17:738
-1.0822;5.8897;4.1468;1.4005;6.2302;7.4427;-3.2967;1.0003;-2.6543;-0.1494;1.452;-0.1048;4495.0;-35.34;103.86;2.46;21.17;-36.31;-15.86;8.0;867.48;50.461;19.520088;-96.91568;;;96.77419;0 / 0;95.2;87.0;4.073;10735;2014-11-08 13:53:17:739
3.3902;5.114;10.1131;1.632;6.3492;7.2934;1.1357;-1.0245;2.0727;0.5614;-0.015;0.0379;4160.0;-22.98;94.26;4.02;17.65;-42.44;-2.06;8.0;867.41;53.386;19.520088;-96.91568;;;96.77419;0 / 0;95.2;87.0;4.073;2426;2014-11-08 13:53:18:240
3.3902;5.114;10.1131;1.632;6.3492;7.2934;1.1357;-1.0245;2.0727;0.5614;-0.015;0.0379;4160.0;-22.98;94.26;4.02;17.65;-42.44;-2.06;8.0;867.41;53.386;19.520088;-96.91568;;;96.77419;0 / 0;95.2;87.0;4.073;11238;2014-11-08 13:53:18:242
4.5969;6.1579;11.8082;2.955;6.7931;6.4258;1.8142;-0.8459;5.9953;0.7947;-0.6032;-0.1457;3626.0;-30.66;98.82;4.32;20.97;-43.84;-24.7;8.0;867.41;56.191;19.520088;-96.91568;;;96.77419;0 / 0;95.2;87.0;4.073;2966;2014-11-08 13:53:18:780
4.5969;6.1579;11.8082;2.955;6.7931;6.4258;1.8142;-0.8459;5.9953;0.1368;-0.7242;-0.7501;3626.0;-30.66;98.82;4.32;20.97;-43.84;-24.7;8.0;867.41;56.191;19.520088;-96.91568;;;96.77419;0 / 0;95.2;87.0;4.073;11782;2014-11-08 13:53:18:786
0.7757;0.9673;12.1242;2.9831;7.9404;4.9215;-5.1666;-7.5861;6.7909;0.3204;-6.0274;-3.4138;2421.0;-57.42;100.68;15.36;34.13;-43.04;-29.53;8.0;867.52;76.027;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;3481;2014-11-08 13:53:19:295
0.7757;0.9673;12.1242;2.9831;7.9404;4.9215;-5.1666;-7.5861;6.7909;0.3204;-6.0274;-3.4138;2421.0;-57.42;100.68;15.36;34.13;-43.04;-29.53;8.0;867.52;76.027;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;12293;2014-11-08 13:53:19:297
8.8298;-0.7374;11.2815;0.6144;5.4424;8.1347;8.5889;-5.7297;3.166;1.9465;2.7504;4.9963;3286.0;-32.4;103.08;4.5;28.37;-36.08;-15.7;8.0;867.37;65.876;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;4003;2014-11-08 13:53:19:817
8.8298;-0.7374;11.2815;0.6144;5.4424;8.1347;8.5889;-5.7297;3.166;1.9465;2.7504;4.9963;3286.0;-32.4;103.08;4.5;28.37;-36.08;-15.7;8.0;867.37;65.876;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;12818;2014-11-08 13:53:19:822
3.984;5.8131;6.9623;1.3493;4.7252;8.4866;2.9507;1.7679;0.1325;1.1405;-0.066;-0.1866;3911.0;-30.66;109.68;6.48;17.91;-28.89;-15.17;8.0;867.56;71.571;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;4829;2014-11-08 13:53:20:643
3.984;5.8131;6.9623;1.3493;4.7252;8.4866;2.9507;1.7679;0.1325;1.1405;-0.066;-0.1866;3911.0;-30.66;109.68;6.48;17.91;-28.89;-15.17;8.0;867.56;71.571;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;13641;2014-11-08 13:53:20:645
2.49;2.2697;4.616;2.5107;5.0577;8.0179;0.0271;-3.0945;-3.8328;0.4475;0.7364;-0.4166;3561.0;-28.08;109.38;6.6;17.0;-31.05;-17.39;8.0;867.59;71.287;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;5493;2014-11-08 13:53:21:307
2.49;2.2697;4.616;2.5107;5.0577;8.0179;0.0271;-3.0945;-3.8328;0.4475;0.7364;-0.4166;3561.0;-28.08;109.38;6.6;17.0;-31.05;-17.39;8.0;867.59;71.287;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;14304;2014-11-08 13:53:21:308
2.873;1.8579;8.0158;1.9948;5.6403;7.7703;0.7346;-3.3228;-0.9325;-1.5818;0.1808;-0.4759;4798.0;-33.12;114.24;9.24;19.53;-32.26;-15.34;8.0;867.47;61.012;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;6011;2014-11-08 13:53:21:825
2.873;1.8579;8.0158;1.9948;5.6403;7.7703;0.7346;-3.3228;-0.9325;-1.5818;0.1808;-0.4759;4798.0;-33.12;114.24;9.24;19.53;-32.26;-15.34;8.0;867.47;61.012;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;14823;2014-11-08 13:53:21:827
2.8347;2.7007;5.6886;2.9171;4.4459;8.2398;-0.1398;-1.7836;-2.7332;-0.6109;-0.1484;-0.5424;4570.0;-33.0;117.78;10.08;18.17;-27.43;-17.97;8.0;867.59;54.065;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;6522;2014-11-08 13:53:22:336
2.8347;2.7007;5.6886;2.9171;4.4459;8.2398;-0.1398;-1.7836;-2.7332;-0.6109;-0.1484;-0.5424;4570.0;-33.0;117.78;10.08;18.17;-27.43;-17.97;8.0;867.59;54.065;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;15335;2014-11-08 13:53:22:339
2.2793;2.5187;7.6998;2.9276;2.7752;8.9386;-0.543;0.0212;-1.8134;-0.7624;-0.8234;0.3024;4616.0;-37.62;121.2;12.78;19.12;-28.96;-29.92;8.0;867.56;55.948;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;7038;2014-11-08 13:53:22:852
2.2793;2.5187;7.6998;2.9276;2.7752;8.9386;-0.543;0.0212;-1.8134;-0.7624;-0.8234;0.3024;4616.0;-37.62;121.2;12.78;19.12;-28.96;-29.92;8.0;867.56;55.948;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;15849;2014-11-08 13:53:22:853
